Name,cF17,cF3,cF29,cF36,cF8,cF41,cF38,cF19,cF31,cF14,cF27,cF4,cF22,cF40,cF9,cF33,cF16,cF2,cF26,cF11,cF20,cF5,cF30,cF15,cF39,cF7,cF13,cF34,cF18,cF10,cF28,cF21,cF44,cF12,cF35,cF24,cF6
Feature 04054,73077.38557,305397.7753,289102.3965,1287691.39,32777.30012,1129340.138,6229652.799,116662.5917,4381734.668,2223481.98,1728189.161,634144.3032,10270240.13,18311390.02,2606621.772,1629547.824,634126.7392,73331384.11,470423.2333,12202957.96,1544205.331,2564620.034,92527.61865,27840.32465,2220162.004,33655928.18,2230047.595,6224093.697,4003886.349,1526156.593,2801590.709,29557699.99,29734197.21,925383.6921,13026612.26,1288874.854,47867743.49
Feature 04057,58972.70503,8087428.73,1495235.383,6300239.93,140781.5638,695838.5977,4366.894853,670.2145126,2580606.383,5463941.197,112783.1561,3874836.243,0,143221053.8,798275.2725,1276.848263,289997.3684,65917380.12,2103706.896,4637616.845,2956587.394,1055108.311,57482.55807,109756.8465,150292.8645,4998185.04,123784.7056,197576.288,20331546.78,12380790.18,532905.273,0,17118818.78,386092.4115,2155276.572,192446.5659,675844.1851
Feature 04058,45235.55163,941757.0103,992518.2299,954115.3211,20233.53035,1534796.162,3437393.563,92934.93936,5320743.159,3789751.401,1821420.873,2402499.109,193552170.9,45640809.56,1328225.072,1115483.381,438040.3105,36935348.73,860313.1028,6052861.007,1030181.951,1640711.034,61554.56945,110469.0744,4514176.288,17384043.02,1580158.453,4969267.685,73636230.25,16423833.4,2177396.688,34547052.62,37014974.18,61237.16806,7611320.834,849375.5236,122097703.7
Feature 04059,593.6956909,30629.7249,1230041.245,307884.1966,134208.6048,600316.3146,89222.24921,0,393319.8578,5028044.21,446406.4169,24101.95942,2971153.598,27196.30892,4605.043452,19622.78166,0,334442.5964,26284.01729,233621.633,43680.41059,21018.32908,8932.095917,614.9856324,5572.899537,9295.716774,773.8354785,98032.23757,182369.9496,110445.1269,3068.723212,30852201.82,6559158.477,1034.301993,562832.5458,33615.07694,561779.1006
Feature 04060,137796.8929,3427646.438,569802.2743,2581477.696,127672.7837,3464772.211,6011420.807,1436569.285,2554890.166,1887377.484,1365121.833,327580.7773,7767702.356,22185508.06,164719.2578,192426.291,790311.8741,24907377.1,1358217.508,3300638.398,7626413.515,882052.3375,154707.7702,62224.68544,1571506.78,1847262.165,109412.8919,1411544.482,2053563.313,2740872.319,764802.7071,6095517.051,105284811.1,453629.7717,1472600.321,687691.2492,7682958.898
Feature 04061,160399.1112,30361224.06,6270752.564,25276381.16,613889.9792,2770011.179,534696.6069,83535.30681,2847419.788,23912394.22,321615.9931,245826.3784,232617.2266,2915600.34,102837.6571,1107755.73,309176.7033,485265.4169,21143.66109,494265.8297,2079708.161,17910.50939,120884.6899,44970.15416,81121.68101,2995399.715,72781.18774,513718.1117,2369974.708,751208.3509,206860.4802,756418.3259,941307.1793,198938.8753,15887823.38,1006064.4,28676669.71
Feature 04062,37056.77949,2515335.639,165594.1153,1062922.081,145197.4354,1089644.249,2522048.139,117.0443404,141762.0601,4951372.476,95718.29126,3791346.136,18503031.37,35419145.44,1804589.553,1615894.964,554653.3527,14554675.63,2794280.699,12010245.33,649963.3817,903757.4063,34481.68126,4525.952043,932365.3584,38261435.8,165256.7265,601883.7272,26678775.78,12750202.29,105445.1921,2346679.518,20157743.55,7682.400118,1672009.631,95791.90962,54670214.39
Feature 04063,161308.6409,30556775.74,6312199.526,25458708.61,618589.5356,2787045.346,537058.7555,83953.82336,2864178.108,24096875.89,324441.9278,247819.5025,236850.2339,2940394.823,102692.1362,1119295.127,312702.8582,708545.7166,21348.01102,499604.6913,2110236.942,18066.23026,123001.1336,45868.85827,82833.84371,2995516.143,74867.81969,526911.7041,2372185.312,775548.994,211649.1956,748393.9931,943114.4334,199248.1232,15929437.43,1010350.3,28833738.87
Feature 04065,42799.02174,2138336.775,182616.9498,1010852.582,136055.8833,1016189.964,1954231.85,303.7533088,114687.3418,4535491.783,63647.0577,3545704.26,18826691.88,32120194.4,1707786.71,1591837.351,535418.8679,12765150.93,2831676.137,12254031.17,658023.0874,986019.1302,37214.59343,6313.865068,1036200.941,33155430.73,186360.4742,706232.8074,23180552.19,15727464.77,132134.1874,65919.94537,18760804.54,6082.27544,1474832.678,93205.81477,49482201.75
Feature 04066,505516.5954,11911434.08,338024.093,1880360.653,445622.5796,6745098.654,2884394.714,1771093.66,6515538.848,35037672.13,3200052.263,23813402.55,90062426.51,33146419.95,12680869.83,379724800.5,5931907.736,75865588.7,33068522.61,11677749.5,2842855.768,1028668.966,3363308.575,842615.2562,5705040.162,59706966.63,6332878.098,3493690.432,5955871.754,69465285.34,5029761.478,3043387.473,42865328.81,4433254.544,33406792.74,11071392.77,402214252.4
Feature 04068,842801.5185,17325743.84,3443348.547,14830976.37,854262.4985,22717536.53,4748203.109,2368304.423,7640385.487,2629779.229,1306960.178,31433721.74,88408530.49,52952369.1,2845780.355,29995995.86,3421086.41,661383253.9,116582984.4,38419840.48,10815432.27,2666052.562,2174321.945,3127672.6,2983462.444,64081711.87,2442947.505,3865110.829,79523421.75,25812654.24,2445930.598,54234386.46,260504018.6,4484193.109,61629309.74,12802468.7,271047545.1
Feature 04069,139313.2669,26685208.01,7699743.001,15595466.32,641887.6747,5162422.04,9949968.191,189755.8688,2787170.775,21485477.34,1154217.571,579700.089,14885308.3,4843861.636,132488.6998,22053302.87,1051423.048,16121594.1,804848.2875,2931229.911,7196637.331,881371.5781,120444.7249,17493.22733,3688880.415,25930552.54,1352387.248,8515910.433,19640646.35,460731.1333,812518.0749,11387807.56,50427564.19,253045.2371,12390817.2,884725.2049,21615239.61
Feature 04070,546237.7598,4329344.332,1520793.699,6728455.346,871052.169,6689393.676,10129808.91,370511.3052,5765410.238,17466723.88,1627031.845,444845.9115,22943522.65,46370001.73,437495.5144,4787908.729,3036426.347,27254437.37,4846760.931,2846179.995,8607093.254,1253282.066,814583.1846,177484.0048,1667550.696,365186.7876,794510.7322,7150288.328,87452540.94,14412161.75,2362788.402,20119182.99,61180397.34,164831.926,17169446.65,2681889.805,26607389.21
Feature 04071,143138.5254,4016057.002,1947701.461,8039622.649,228897.1285,6711407.147,7681891.475,115196.3166,3816539.271,1620807.024,1042536.564,8609371.767,43100460.76,38798909.76,1370629.215,1034172.14,1412351.95,58462669.03,1155095.727,4293380.115,3692912.747,683396.3791,313479.8141,71822.6458,1844029.977,15429032.15,811487.2484,2672764.478,96701028.19,13153631.48,2496949.316,73043886.98,49089371.21,80010.98582,5988333.305,1898326.308,247006595.5
Feature 04072,561569.0897,5949879.594,2108504.313,6743791.191,659397.609,7095271.907,11499796.4,389129.5093,6225646.866,6255338.763,2040818.443,3235325.945,23743191.14,47563757.91,434127.4978,3434384.922,2688577.217,22476971.58,2435834.281,3117467.208,8047537.461,956849.8745,649189.5152,119660.1922,1506040.629,39288438.19,487199.4122,4460033.121,67036005.85,10116149.94,731230.4816,24497641.25,47697386.97,263543.4408,18916379.68,2998468.299,35394498.59
Feature 04075,148327.2331,11138061.4,5508011.758,11998186.7,484474.4164,12719585.48,14640860.05,705505.8809,11875666.65,11416969.25,5354009.552,21421306.95,23531413.67,181461527,2303704.755,4951633.802,3135564.196,93388059.81,5015439.503,11010936.63,18882184.9,1892773.186,384080.7946,216870.4959,6913893.785,12333854.78,2470702.653,7328889.421,98903865.33,30711100.45,354713.076,8190162.091,108473876.1,619327.6257,38800054.27,2716906.726,137645741.5
Feature 04076,153520.9647,5034554.736,5640778.256,11277117.03,494078.1724,12615751.14,16697996.1,431886.5049,11596557.08,11935863.4,6113201.631,24210907.23,23001021.9,198662825.9,2604607.005,5814121.9,3885009.01,111546145.7,5337708.342,10919769.53,8810770.799,2527531.389,421234.737,210966.969,6357322.719,11097845.89,2550689.03,4730300.085,105356202,32324928.99,783925.2793,70593774.48,111774224.4,1682441.372,41484541.15,2656088.761,153081742.8
Feature 04077,423214.2583,8804359.514,3092283.2,13633764.33,594652.9533,8861394.407,9774633.766,123748.2457,9427765.421,6328008.764,3661272.311,7888864.214,77696847.08,64220889.24,1343935.157,6264042.422,3042680.328,67576391.59,447042.2764,9822000.407,9621410.055,1173214.457,178920.4312,181174.4036,2010072.356,2160555.313,1037291.659,2994278.957,50455291.17,20232872.71,1583559.178,177321216.1,134715904.7,1085135.786,3366373.862,2815628.553,191346452.5
Feature 04078,1094285.24,1382520.938,5457842.681,30097529.75,1733283.406,29555346.81,30190707.83,1345431.198,23075673.68,13470687.11,9193384.602,3581051.19,178162512.5,222605249.1,3022771.763,21833350.05,8486858.991,132475499.8,8045814.759,22731826.49,28503157.19,2347102.475,602368.3758,547817.252,6978166.617,5097564.84,2665165.232,8280850.83,75156729.54,10703230.45,5072228.251,421721036.8,281017898.3,2724012.319,71050521.5,7152402.095,266574154.8
Feature 04079,22472.40563,1931301.337,1172825.812,3295698.723,344160.4955,2491668.829,659217.1089,48757.22048,393165.9912,606048.8781,241302.7491,1523234.256,21444778.63,19905733.71,133117.5639,7105971.727,753317.4161,45296534.34,353934.7696,3513785.845,2087831.339,268893.0011,764784.1593,288986.7304,671310.4414,39053629.72,1137225.915,412659.2779,36521906.02,7387007.664,984820.7213,31067069.85,35766496.5,5032503.145,18941658.12,223382.8256,67004779.85
Feature 04080,38337.66904,1233088.364,103092.879,453704.2593,2078.819832,127977.5233,550341.2289,80593.10042,183509.8177,7505002.556,1048676.569,1081839.904,1453365.469,341077.9463,512962.3825,26234854.24,21299.87203,5087477.686,2432459.945,199974.7813,26497.51297,8472.065813,570107.2067,894697.6905,737.086256,5827797.388,263113.0801,456.5121133,13849796.02,882927.6645,323.9198876,665125.2619,1435433.29,438990.6385,8261746.84,554750.3586,10670239.43
Feature 04082,653454.4056,12333128.44,7421474.703,75941728.26,1121458.392,21173466.08,19559676.28,3349011.776,7066815.829,82890923.7,7802147.302,18868242.81,515903379.2,578664296.6,20536581.77,34341852.64,2747881.634,406530207,77424966.62,25684823.63,21381833.17,4897555.002,1285453.188,3975366.962,11809291.28,405544358,20546337.66,6452894.238,285082606.2,261655201.5,14689613.19,648512213.4,162121431.7,474459.1291,26998528.9,4784946.732,1777472720
Feature 04083,62533.34586,308521.7448,210909.621,6981530.693,16629.43931,1469518.321,245734.0189,7110.138217,1133107.826,515571.3344,507687.1927,5191872.515,89422810.63,27239421.49,4475459.755,9463160.805,476118.0184,32149909.62,8553342.529,793858.6918,1194370.405,401040.4965,2839.656214,137408.8834,1404136.6,33652429.73,1011871.505,107432.1663,37361596.87,15406890.15,1267534.3,98749215.63,31109799.42,11813.92241,7688874.508,661358.5355,348760543
Feature 04088,167620.3088,18897305.97,4369895.296,45743815.09,256165.0194,28155205.99,58160606.43,24086.16965,2445010.397,14190373.58,5297112.16,37708463.51,311262535.2,180108609.3,4239757.046,5319771.213,8460727.547,330657357.5,3734416.12,25864893.88,957941.5572,4053911.207,199020.5314,229528.3298,4189729.149,38658987.37,3251488.789,8983223.678,155050238.9,66940004.92,5655067.079,292024349.4,336613232.3,576446.8079,2769546.552,8250054.158,1622268487
Feature 04090,6820.027292,3079.314986,6312199.526,25458708.61,618589.5356,2787045.346,8325.139287,1212.968314,2864178.108,24096875.89,15243.38642,70187.0611,3602745.026,291929.8299,8881.538812,64174.54907,17001.43889,419971.9948,236045.1696,129342.8153,2110236.942,2879.706012,4010.471335,2715.469842,0,57896.17414,1041.588692,115474.2048,81069.26183,12879.3438,59608.30824,3399711.675,9412910.593,22849.17359,41812.25676,1010350.3,93917.5312
Feature 04091,72819.34666,27629689.93,1756714.789,8547174.617,294289.0679,3191717.575,552830.369,131106.1293,124309.2233,14933445.02,25251.01039,1591260.792,5949675.966,5700721.324,425090.8444,4169662.448,31778.99581,14086267.44,1709384.856,812631.9087,172032.4454,297483.0672,111051.8444,63497.97192,185672.0069,6221319.281,22339.78408,663348.7018,811454.249,4024157.169,328551.3433,23801074.28,1779810.876,467673.1203,13266822.25,220778.9187,24265874
Feature 04093,2087251.962,3712352.788,13384662.72,3963544.139,462696.2792,3409407.132,8247948.324,1935055.404,17502272.33,50970284.97,10364138.61,146583757.5,745555931.1,268702676.8,2558799.457,9989727.553,17034967.41,8521278240,131067108.1,534017888.6,73181152.9,29344511.43,241209.6483,276103.6527,96549472.13,572940652.8,32920571.02,38551572,430760271,34020513.52,984728.6082,525099785.5,469343058.9,5968616.642,46786363.13,44230570.18,731646557.8
Feature 04094,290942.7935,13178986.58,6712899.844,10186831.7,265757.0636,7584584.045,13760202.56,114034.8254,4774362.075,76435861.09,3511775.166,12244175.35,58930656.08,39170912.57,2475406.48,10554615.33,2665483.621,76823677.95,7142489.869,32391512.95,45293242.93,5831331.426,461432.6783,376466.7598,64533717.85,161760721,4430918.893,21255678.9,789351195.8,30960864.39,3059706.692,307324790.3,677266694,232133.3113,9608924.146,780919.1139,599729350.3
Feature 04095,2087251.962,3712352.788,13384662.72,3963544.139,462696.2792,3409407.132,8247948.324,1935055.404,17502272.33,50970284.97,10364138.61,146583757.5,745555931.1,268702676.8,2558799.457,9989727.553,17034967.41,8521278240,131067108.1,534017888.6,73181152.9,29344511.43,241209.6483,276103.6527,96549472.13,572940652.8,32920571.02,38551572,29826409.63,34020513.52,984728.6082,525099785.5,469343058.9,5968616.642,46786363.13,1083337.072,731646557.8
Feature 04096,260159.4892,13313137.1,6737466.59,9284632.158,255516.6365,7913900.028,9937343.308,125315.5973,4739633.773,76967518.04,3848237.506,12942543.59,65266279.54,43076213.42,2151063.064,12109099,3096722.412,63898227.41,6901670.003,42301127.26,55836294.94,7224423.216,646218.4403,540680.6455,99172196.1,135037650.4,6972605.671,34361645.65,695133893.8,53819779.08,5068086.625,273304486.7,595156337.7,203761.9619,8731599.965,756069.0752,612764109.6
Feature 04097,169829.6149,799366.1304,5641305.632,11278310.29,494114.5171,12616983.25,16697808.4,431898.2128,11597731.76,11937038.44,6113874.41,24213058.09,25104478.4,198686814.9,2604570.088,7201987.034,3885530.22,111543804.5,917336.2042,1389940.702,1049654.441,2528035.972,88299.39771,49081.85584,6359353.709,4345926.991,2551505.7,4731921.018,105356809.8,32335509.39,433250.4226,70594137.16,111777550.4,1682459.323,41486602.96,2656264.358,153092102.4
Feature 04099,302600.8798,1913337.553,1934324.475,13738480.71,146414.2042,3953788.584,3162439.269,26160.99668,3233281.161,6801477.562,797421.3547,25076280.24,217246142.6,91733935.54,1622905.796,5275222.345,2955248.347,62919214.57,22028744.66,91108148.44,14192996.73,4721570.102,119964.6522,144816.5352,17341245.62,94828344.91,6677445.247,7519699.966,68234837.13,24901659.89,1611820.309,194599401.7,121102696.5,1063205.805,107103303,1448952.916,224856459.6
Feature 04101,177502.5163,1497815.859,1357451.432,24903142.63,115753.1414,11909620.69,2683456.467,121046.4357,1994786.639,5880260.972,688300.0509,1404616.598,10885414,11297475.17,2926443.603,3273897.782,277751.3057,31949098.13,9938236.415,8961390.348,3494385.389,674764.4084,92480.93825,276826.8734,1252146.748,298221391.4,1523583.625,2066938.856,37616296.21,3991519.283,538812.6382,63722684.99,109954932.3,384258.2336,6089819.709,683655.8119,42034034.53
Feature 04105,94435.67758,424643.8638,914289.1646,7179085.76,111914.006,3860620.093,2415024.764,37312.76876,5406567.39,2114945.945,2041967.157,9778608.983,171844280.9,62579716.81,1103617.067,15916967.71,60063.53953,103498116.6,17151175.33,41944962.59,6673482.926,4094415.185,4925.14828,414238.9192,7495360.865,31939526.45,1558736.034,4479838.599,53192238.99,8824864.057,5133978.326,317798682.7,433818545.4,272354.6696,25916010.26,688305.6124,58337858.1
Feature 04106,362308.3255,4689634.305,1078984.249,76597957.33,95199.68485,1664770.724,26208203.98,571096.1904,7256817.263,80694094.36,7887467.328,18208243.87,481887885.7,520941015.7,24723693.21,15631287.16,1221859.066,496464136.7,62236948.2,20648285.38,17989108.76,2577565.046,1067704.692,2798468.2,9981268.198,456502888.8,12291756.69,4124003.462,318419320.3,159766542.1,6089386.601,756230118.1,247061286.8,310949.5433,8694829.457,4031018.183,1790286014
Feature 04107,3025.341469,1411764.62,645126.0197,6441724.238,15747.37387,5143701.662,343162.7077,325132.3454,65900107.92,4432607.051,827220.8914,750023.7052,24273155.39,21096097.52,82583.77706,1188163.888,255275.4591,26116282.74,4496666.901,3166622.453,4926472.651,658243.5184,0,91790.62531,6842638.239,2766482.297,450866.4913,2970322.332,75881809.91,3718741.402,567634.307,37040028.34,72278245.49,72094.91679,15989220.65,26403.21623,60070203.18
