Name,Quant mass,cF17,cF3,cF29,cF36,cF41,cF12,cF24,cF38,cF19,cF31,cF14,cF27,cF4,cF22,cF40,cF9,cF33,cF16,cF2,cF26,cF11,cF20,cF5,cF30,cF15,cF39,cF25,cF34,cF18,cF10,cF28,cF21
"Benzene, 1,3-bis(1,1-dimethylethyl)-",175.16074,416148428.5,77621553.3,538917407.1,261986195.3,73534.152,6112532.9,74727699,12347934,2.65E+09,3451144.8,401050497,815637456,4.67E+09,717625598,200477510,719401572,676221542,3073326.5,128969894,737740070,14399004,172677.5,19374420,19804.848,1.28E+09,502694220,357450359,4617539.6,22891772,2.59E+09,3.13E+09,9.37E+09
"Benzene, 2-ethyl-1,3-dimethyl-",119.08273,4798510785,351256444,16136847608,2316537413,3933041,750760.48,1.04E+09,55155234,4.09E+09,50425.391,3.46E+09,442280326,2.17E+10,2.10E+09,384507810,324174581,4.41E+09,71407.719,6707447.8,60756644,21587240,6502897,545474.23,9847782.8,1.47E+09,824324856,4.92E+09,593815.32,26078449,5.78E+09,18746205,14117840
Benzeneacetaldehyde,91.077498,505267264.8,118238067,195577142.8,1765611582,770421.19,1144438.2,7925423.2,106480.81,58496799,208164.15,5.02E+09,907980364,4.02E+10,4.11E+09,741145861,505159777,1.01E+10,5664571.3,3946965.7,473126553,126811444,220096.6,3949234.6,22125791,6.47E+09,14448168,658024662,12825582,84559519,2.78E+10,380520520,288478449
"Benzoic acid 1,1-dimethylethyl ester",123.04466,1621339.565,1164907.3,14855851.91,2849057.268,26210.297,189952.01,3764717.5,29911.961,3868815.6,28849.015,6252534.3,11088271,113592991,41312791,7859197.5,2923443.4,76394641,5168.6173,37152421,96022755,807186767,1359218.8,3773171.2,5880917.1,56710645,5403901.9,167083316,4698752.2,424275.98,173058391,321730359,667340517
"Benzoic acid, 3-methyl-, 3-methylbut-2-yl ester",119.09268,996564268.3,168256820,2830068555,657483814,2112292,25571545,182728944,9175982,1.09E+09,2495076.1,330039592,6840438.7,2.19E+09,332355111,87888318,6286145.4,699522623,253705.45,4181077.7,934194685,26837046,355480.28,12648882,2338751.9,566922238,193609637,677125701,469889.2,440705.62,1.66E+09,20253170,34009482
"Benzoic acid, methyl ester",105.0363,40081779029,7765464032,36879375249,26418700087,75408732,643482187,2.19E+09,68665931,1.34E+10,31249477,4.62E+09,9.34E+09,1.20E+11,1.38E+10,3.28E+09,8.27E+09,1.02E+10,44889487,2.97E+09,1.40E+10,6.43E+10,170675265,318933150,660575739,1.38E+10,4.03E+09,2.06E+10,477050488,317768112,5.83E+10,3.00E+10,5.64E+10
"Bicyclo[3.1.1]heptane, 6,6-dimethyl-3-methylene-",93.079953,264378849.8,50886435.3,149160603.2,173487567.4,431462.33,5584837.1,262078282,2054495.2,250844246,1224470.7,8453846.2,3039638.1,3.76E+09,534125438,230924033,579531688,617499971,3010547.2,147356257,1.60E+09,2.82E+09,152892.37,23973443,45954862,2.07E+09,502080577,1.17E+09,20751604,293259.97,343251249,415323194,1.09E+09
"Butanoic acid, butyl ester",71.07694,11838683.46,60706283,11950389.43,17983283.59,71639.106,115552.04,4617717.8,24307931,3.16E+09,2869469.5,449004017,507879153,6.08E+09,941167239,242888755,5.85E+09,419818251,5780659.8,103476104,614078249,194070544,8184705.3,22799469,2729163.6,1.15E+09,377882342,386638111,13265563,26392562,387140956,1.21E+09,831758176
Camphene(1),93.085006,6345450784,1301576142,9979769307,525407956.5,9281037.7,185638266,1.14E+09,103266684,1.86E+10,35036166,3.29E+09,5.23E+09,8.86E+09,400886100,125271139,5261761.8,252491095,721438.01,1913048.5,2.45E+09,8726716.8,0,22221749,753189.78,159841192,393764377,2.48E+09,46891702,7317.944,6.36E+09,2.73E+09,5.12E+09
Camphene(2),93.071885,7928648203,1587011886,7424326765,5382919620,14599937,143824722,977744058,22713282,3.04E+09,5942515.6,745945322,1.98E+09,2.52E+10,3.06E+09,756758325,1.09E+09,8317431,9335496.3,741047623,3.37E+09,3.03E+10,106886.67,29733.772,422429.22,9617386,849846921,7.64E+09,165233245,52845863,2.34E+10,1.24E+10,8030379.6
"Carbonic acid, butyl phenyl ester(1)",94.05186,15193042.95,2906744.63,25834415.14,40035496.31,94871.817,708284.51,1649069.9,56665.565,5919140.6,563619.11,7148826.7,12691134,324193617,401556.3,2989233.6,95259722,4611809.5,866809.81,68942777,0,25424961,3445509.7,0,12484311,2446514.1,3362838.1,10227305,326909.67,4172339.4,52416992,429771846,0
"Carbonic acid, butyl phenyl ester(2)",94.052019,3727604915,108614582,71543437.21,565870458.4,268115.48,29709623,70828166,6567480.3,627018570,584754.2,273765533,365549505,1.15E+09,572248022,4234269.5,344255242,583645739,3173673.9,698923844,848831917,312814004,7932724.4,15535632,17389936,182442161,145307559,1.87E+09,3080025.3,9487347,7.04E+09,358187679,3.82E+09
